Store_ID,Store_Name,License_Number,Address,Store_Type_ID,Zip_Code,Latitude,Longitude
0,Red Ivy,1847485,3519-3525 N CLARK ST,1,60657,41.94628081,-87.65560313
1,WORLD FRESH MARKET,1492163,2434-2438 W DEVON AVE,2,60659,41.99781793,-87.69125189
2,CLIFTON GRILL,2164148,6410-12 N CLAREMONT AVE,1,60645,41.99812089,-87.68882213
3,MCKELLIN'S,29510,2800 W TOUHY AVE,1,60645,42.01217318,-87.69984398
4,UDUPI PALACE RESTAURANT,30962,2543 W DEVON AVE,1,60659,41.99755003,-87.69402395
5,BP,2240156,2751 W PETERSON AVE,2,60659,41.99033475,-87.69908651
6,NEW CHINA BUFFET,1516129,7566 N WESTERN AVE,1,60645,42.01918787,-87.69032526
7,MASALA   GRILL,2120472,2948-2950 W DEVON AVE,1,60659,41.99759299,-87.70403463
8,ABHIRUCHI,2256208,2437 W DEVON AVE,1,60659,41.9975974,-87.69133152
9,FISH CORNER,1948599,6408-6410 N CAMPBELL AVE,2,60645,41.99800198,-87.69248105
10,POTBELLY SANDWICH SHOP,2262715,5961 N LINCOLN AVE,1,60659,41.98950582,-87.70565777
11,KABAB HOUSE,1979795,5657 N LINCOLN AVE,1,60659,41.98440499,-87.69705038
12,THE NORTHMAN,45189,4337 N LINCOLN AVE,1,60618,41.96057324,-87.68309637
13,OAKWOOD '83,6282,1959 W MONTROSE AVE,1,60613,41.96135532,-87.67830516
14,HARRY'S SANDWICH SHOP,17432,336 S DEARBORN ST,1,60604,41.87727931,-87.62941875
15,CYRANO'S BISTROT AND WINE BAR,48530,546 N WELLS ST,1,60654,41.89220298,-87.6342279
16,THE EVEREST ROOM,18994,440 S LA SALLE ST,1,60605,41.87588847,-87.63188472
17,Chicago DQ Grill and Chill,1959931,436 S Wabash AVE,1,60605,41.8760741,-87.62618266
18,MINGHIN CUISINE,2177499,2162-2170 S ARCHER AVE,1,60616,41.85327022,-87.63424789
19,TAPAS VALENCIA,1927736,1530 S STATE ST,1,60605,41.86101824,-87.6274171
20,ZED 451,1741849,729-743 N CLARK ST,1,60610,41.89574705,-87.63107917
21,MAKKI FAST FOOD AND GRILL,2108759,4702 N KIMBALL AVE,1,60625,41.96672764,-87.71345994
22,HARVEST GRILL,33834,540 N MICHIGAN AVE,1,60611,41.89214078,-87.62431278
23,HARRY CARAY'S RESTAURANT,44899,33 W KINZIE ST,1,60654,41.88912549,-87.62942249
24,The Indian Garden Restaurant,1646652,247 E ONTARIO ST,1,60611,41.8932723,-87.6214688
25,ENGLEWOOD MARATHON,2032809,6124 S ASHLAND AVE,2,60636,41.78234075,-87.66443621
26,THE SKY - LINE CLUB,30270,307 N MICHIGAN AVE,1,60601,41.88700442,-87.62439466
27,KEVINS HAMBURGER HAVEN ON WESTERN INC.,1489425,4056 S WESTERN AVE,1,60609,41.81953313,-87.68487388
28,MCDONALD'S,1490035,6900 S LAFAYETTE AVE,1,60621,41.76915534,-87.62681268
29,RAYYAN FOOD,2027317,111 W 115TH ST,2,60628,41.68517594,-87.62582846
30,CHILL'S BAR AND GRILL,2157766,5637-5639 W GRAND AVE,1,60639,41.9189225,-87.7673216
31,CHILL'S BAR AND GRILL,2157768,5637-5639 W GRAND AVE,1,60639,41.9189225,-87.7673216
32,GREAT AMERICAN BAGEL,1898062,1248 W BELMONT AVE,1,60657,41.93991143,-87.6608327
33,BATTER & BERRIES,2146584,2748 N LINCOLN AVE,1,60614,41.93166321,-87.65766949
34,MAXIM'S RESTAURANT INC,644,20 N CLARK ST,1,60602,41.88243401,-87.63103701
35,EVENT KITCHEN,1447923,323 E WACKER DR,1,60601,41.88755604,-87.61965509
36,STARBUCKS COFFEE,2183765,171 W RANDOLPH ST,1,60601,41.88436188,-87.63316454
37,UNIVERSITY OF CHICAGO CHARTER SCHOOL DONOGHUE,66321,707 E 37TH ST,3,60653,41.82770517,-87.60847172
38,LULA' S GRILL & PIZZA INC,1515369,1858 W PERSHING RD,1,60609,41.82339003,-87.67223625
39,CRUMB/CO-OP SAUCE,2152753,6338-6340 N CLARK ST,1,60660,41.99744133,-87.6705687
40,I LOVE SUSHI,1908389,233 N MICHIGAN AVE,1,60601,41.88656737,-87.62438467
41,ALBERTO'S PIZZA,6475,1326 W MORSE AVE,1,60626,42.00803845,-87.66481712
42,LA FITNESS,1470838,7529 N CLARK ST,1,60626,42.01863113,-87.6758446
43,DREW'S,53791,3201 N HALSTED ST,1,60657,41.94003766,-87.64912125
44,THE INDIAN GARDEN,54045,2546 W DEVON AVE,1,60659,41.99776675,-87.69419951
45,BURGER KING #11297,2232348,6900 S HALSTED ST,1,60621,41.76874434,-87.64465138
46,NACIONAL 27/TALLBOY TACO,80711,325 W HURON ST,1,60654,41.89464565,-87.63678754
47,MORELIA SUPERMARKET,1892862,7300 N WESTERN AVE,2,60645,42.01418398,-87.69037835
48,BLACK SHEEP,25946,2535-2537 W PETERSON AVE,1,60659,41.99036569,-87.6935329
49,BADOU SENEGALESE CUISINE,2183957,2055 W HOWARD ST,1,60645,42.01935461,-87.68254052
50,PITA XPRESS GRILL,2189028,2537-2539 W DEVON AVE,1,60659,41.99755417,-87.69377018
51,PIZZA HUT,43670,3451 W DEVON AVE,1,60659,41.99718178,-87.7162348
52,SIZZLERS PIZZA & GRILL,2142229,1632 W HOWARD ST,1,60626,42.01948985,-87.67205667
53,IHOP # 1202,1767058,5929 N LINCOLN AVE,1,60659,41.98900775,-87.70482244
54,CLARK STREET PANCAKE HOUSE,2185197,7036 N CLARK ST,1,60626,42.01012437,-87.6743699
55,SOLDIER FIELD,1354323,1410 S MUSEUM CAMPUS DR,1,60605,41.86262829,-87.61503109
56,STONY'S PALACE CAFE,2189423,8114 S STONY ISLAND AVE,1,60617,41.74735363,-87.58602791
57,BJ'S MARKET & BAKERY,55054,8734 S STONY ISLAND AVE,1,60617,41.73585958,-87.58577161
58,SKYWAY DOG HOUSE INC,3558,9480 S EWING AVE,1,60617,41.72303512,-87.53679203
59,HYDERABAD HOUSE,2074515,2225 W Devon AVE,1,60659,41.99768843,-87.68600797
60,PARKWAY SUPER MARKET INC.,1591829,6435 S DR MARTIN LUTHER KING JR DR,2,60637,41.77737411,-87.6154079
61,Gale Community Academy,31081,1631 W JONQUIL TER,3,60626,42.02106425,-87.67196481
62,HOE TOY RESTAURANT,1491022,8559 S STONY ISLAND AVE,1,60617,41.73878213,-87.58510297
63,DELMONICO,1356630,111 W WASHINGTON ST,1,60602,41.88310096,-87.63126322
64,"A PIECE OF CAKE BAKERY, INC.",1965176,412 E 87TH ST,1,60619,41.73662153,-87.61393435
65,ARUN'S THAI RESTAURANT,14591,4156 N KEDZIE AVE,1,60618,41.95744728,-87.70827183
66,BROTHERS 5 FOOD & LIQUOR,49445,3034 W ROOSEVELT RD,2,60612,41.8665517,-87.70207678
67,CHIPOTLE MEXICAN GRILL,1379435,235 W LAKE ST,1,60606,41.88562094,-87.63506653
68,KELLY'S CAJUN GRILL,69186,225 S CANAL ST,1,60606,41.87853128,-87.63942746
69,Madison Street Cafe,1331003,70 W MADISON ST,1,60602,41.88209337,-87.63039164
70,SUNRISE FRESH MARKET,1816485,2722 N MILWAUKEE AVE,2,60647,41.93057215,-87.71009992
71,STARBUCKS COFFEE #209,23013,225 N MICHIGAN AVE,1,60601,41.88637741,-87.62438167
72,DUNKIN DONUTS/ BASKIN ROBBINS,1969527,3401 W PETERSON AVE,1,60659,41.99021233,-87.71404362
73,BITTERSWEET,32478,1114 W BELMONT AVE,5,60657,41.93997403,-87.65718931
74,Newberry Magnet,29231,700 W Willow (1800N),3,60614,41.91397435,-87.64601501
75,PURE CAFE,1903535,6251 N MCCORMICK RD,1,60659,41.99547888,-87.71287527
76,SUPER GIFT & GROCERIES,2079754,2305 1/2 W DEVON AVE,2,60659,41.99765846,-87.68767204
77,KOVALA BAKERY,85114,5806-5808 N MILWAUKEE AVE,5,60646,41.98697175,-87.77824042
78,LOU MALNATI'S PIZZERIA,83595,439 N WELLS ST,1,60654,41.89031406,-87.63388913
79,THE EDGEWATER  LOUNGE,1142676,5600 N ASHLAND AVE,1,60660,41.98351514,-87.66996498
80,PIZANO,1446165,61 E MADISON ST,1,60603,41.88198219,-87.62564147
81,312 CHICAGO,1803058,136 N LA SALLE ST,1,60602,41.88415864,-87.6325772
82,J & J FISH & CHICKEN,1938693,6814 S STONY ISLAND AVE,1,60649,41.77102801,-87.58641719
83,PRIDE SUSHI AND THAI,2313790,2706 W PETERSON AVE,1,60659,41.99056418,-87.69728073
84,STATE FISH AND CHICKEN,2163736,2 W 103RD ST,1,60628,41.70727358,-87.62358592
85,LA BAHIA,2293865,4465 S ARCHER AVE,1,60632,41.81205449,-87.70733017
86,CHAI ASIAN BISTRO,2129312,4748-4750 W PETERSON AVE,1,60646,41.99001131,-87.74792953
87,SUPERMERCADO LA GLORIA,2188943,4117-4125 S KEDZIE AVE,2,60632,41.81845057,-87.70423225
88,DEVON PANTRY,61683,3044 W DEVON AVE,2,60659,41.99755215,-87.70629808
89,PETE'S FRESH MARKET,1243125,4700 S KEDZIE AVE,2,60632,41.80804727,-87.70411882
90,"MANOLOS TAMALES, INC. #1",1873308,5341 S KEDZIE AVE,1,60632,41.79595669,-87.7034796
91,THREE G BBQ RESTAURANT,2204120,1713 E 75TH ST,1,60649,41.75868882,-87.58295046
92,HAPPY FOODS,1618660,6783 N NORTHWEST HWY,2,60631,42.00439926,-87.81848576
93,ROSAS TAMALES #2,2074467,3314 W 55TH ST,1,60632,41.79357839,-87.7067128
94,POPE FRANCIS GLOBAL ACADEMY NORTH CAMPUS,1981878,6040 W Ardmore ST,3,60646,41.98666091,-87.77959986
95,Queen of All Saints,1981908,6230 N LEMONT ST,3,60646,41.99458701,-87.74456342
96,MC DONALD'S,65404,5253 S PULASKI RD,1,60632,41.79710974,-87.72312435
97,MARIANO'S,2271471,1615 S CLARK ST,2,60616,41.85962968,-87.6301249
98,HEBA'S FINER INC,1093813,1924 E 87TH ST,2,60617,41.73714625,-87.57708099
99,BURGER KING #10366,1473526,4060 S PULASKI RD,1,60632,41.81884058,-87.72411293
100,TOMMY GUN'S GARAGE,1403652,2114-2118 S WABASH AVE,1,60616,41.85376672,-87.62566517
101,STAR OF SIAM,4190,11 E ILLINOIS ST,1,60611,41.89076289,-87.62754901
102,WEST EGG CAFE,44615,620 N FAIRBANKS CT,1,60611,41.8933654,-87.62042206
103,TACO BURRITO KING,2103985,405 S WELLS ST,1,60607,41.8766979,-87.63354314
104,RUSSIAN TEA TIME,32843,77 E ADAMS ST,1,60603,41.87943624,-87.62485436
105,JAKE MELNICK'S CORNER TAP,27303,41 E SUPERIOR ST,1,60611,41.8955931,-87.62658249
106,ALLIANCE BAKERY,1820302,1736 W DIVISION ST,5,60622,41.90338992,-87.67152182
107,Clemente Comm  (H/S),51091,1147 N Western AVE,3,60622,41.90262318,-87.68686934
108,FOOD LIFE/ M BURGER,31294,835 N MICHIGAN AVE,1,60611,41.89774086,-87.62396132
109,THE COTTON DUCK,2423010,941 N DAMEN AVE,1,60622,41.89898444,-87.67699241
110,7-ELEVEN,1821207,5893 S ARCHER AVE,2,60638,41.79557225,-87.76251629
111,ANGIE'S,1619627,8352 S PULASKI RD,1,60652,41.74056837,-87.72177348
112,BLUE BIRD BOWL,1403943,3900 W COLUMBUS AVE,1,60652,41.73756102,-87.71916759
113,CHEF LUCIANO,34857,43-51 E CERMAK RD,1,60616,41.85274293,-87.62533627
114,PIZZERIA BRANDI,2134644,67 E CERMAK RD,1,60616,41.85275162,-87.62442588
115,ZIA'S LAGO VISTA,2221636,3817-3819 N ASHLAND AVE,1,60613,41.95118641,-87.66882564
116,"M K POULTRY, INC.",1959029,2600 W 51ST ST,2,60632,41.80118128,-87.68918531
117,GOLDEN BULL RESTAURANT INC.,26296,242 W CERMAK RD,1,60616,41.85293752,-87.63376069
118,THE SUBMARINE PIER,2359484,2759 W 51ST ST,1,60632,41.80088087,-87.69393527
119,DUNKIN DONUTS,2203387,4113 S PULASKI RD,1,60632,41.81801875,-87.72379038
120,VETERANS MEMORIAL CAMPUS,2040651,4601 S KILDARE AVE,3,60632,41.80940021,-87.73099367
121,MACHU PICCHU RESTAURANT,1932220,3856 N ASHLAND AVE,1,60613,41.9523159,-87.66914564
122,ALICIA'S TAMALES,1980326,2753 W 55TH ST,1,60632,41.79358651,-87.69348088
123,HARMONY RESTAURANT,61757,6525 W ARCHER AVE,1,60638,41.79216385,-87.78540566
124,CERMAK PRODUCE,1515206,5220 S PULASKI RD,2,60632,41.79799187,-87.72344374
125,THE SUBMARINE PIER,1092597,4048 S ARCHER AVE,1,60632,41.82014352,-87.69460124
126,BLESSED HOMELAND SUPERMARKET,2203567,3825 N BROADWAY,2,60613,41.95197509,-87.64948245
127,LA PALMA,22662,4173 S ARCHER AVE,2,60632,41.81757931,-87.69832059
128,LITTLE QUIAPO RESTAURANT,1740130,6259 N MCCORMICK RD,1,60659,41.99563178,-87.71270678
129,"ARGYLE GROCERY, INC",2340927,1131 W ARGYLE ST,2,60640,41.97314644,-87.65903633
130,THE EDGE,2151995,2720-2722 N CLARK ST,1,60614,41.93184647,-87.64473274
131,DEVON MARKET,1042888,1440 W DEVON AVE,2,60660,41.99822825,-87.66710447
132,CORNER SHOP,2303631,4037 W LAWRENCE AVE,1,60630,41.96811502,-87.72955401
133,WM PENN ELEMENTARY/KIPP ASCEND CHARTER,24911,1616 S Avers,3,60623,41.85836995,-87.72133609
134,CHISME EXPRESS INC.,1334960,5955 S PULASKI RD,1,60629,41.78428898,-87.72277078
135,TAQUERIA EL PATRON,2134773,6832 W ARCHER AVE,1,60638,41.7922412,-87.79286084
136,PETTERINO'S /  DO RITE DONUTS,1069817,150 N DEARBORN ST,1,60601,41.88450898,-87.62960563
137,THE PASTA BOWL COMPANY,1336773,2434-2436 N CLARK ST,1,60614,41.92645332,-87.64116965
138,SOUTH SHORE FOOD MARKET,2103184,7501 S JEFFERY BLVD,2,60649,41.75878729,-87.57599348
139,AMC THEATRES FORD CITY 14,1799063,7601 S CICERO AVE,1,60652,41.75466012,-87.74138476
140,DREAM,59202,1749 N WELLS ST,1,60614,41.91433428,-87.63466147
141,POTBELLY SANDWICH SHOP,2333086,1018 S CANAL ST,1,60607,41.86913722,-87.63940175
142,CHIPMUNKS,2412626,438 W DIVERSEY PKWY,1,60614,41.93299009,-87.64086757
143,"MISS ASIA, LLC",1888944,434 W DIVERSEY PKWY,1,60614,41.9329932,-87.64071617
144,STARBUCKS COFFEE #2372,2093902,4701 S CICERO AVE,1,60632,41.80753346,-87.74300342
145,MARIANO'S #8516,2326979,2112 N ASHLAND AVE,2,60614,41.92024549,-87.66857296
146,POWER DAY CARE CENTER,2215718,725 W 123RD ST,6,60628,41.67044238,-87.64040311
147,MERCY HOSPITAL CAFETERIA,1476430,2525 S MICHIGAN AVE,35,60616,41.84671696,-87.62336973
148,FALCO'S PIZZA,990,2806 W 40TH PL,1,60632,41.82023097,-87.69487471
149,THREE HAPPINESS RESTAURANT,39807,209 W CERMAK RD,1,60616,41.85273606,-87.63244397
150,LITTLE BABAS FAMOUS STEAK & LEMONADE,2308505,2660 E 79TH ST,1,60649,41.75193793,-87.55908695
151,NEW WARSAW RESTAURANT,22697,6250 W 63RD ST,1,60638,41.77784068,-87.77842839
152,RACINE PLUMBING,1383544,2642 N LINCOLN AVE,1,60614,41.92984238,-87.65512664
153,SUPERMERCADO LA TAPATIA,2378978,2300 S SACRAMENTO AVE,2,60623,41.84992324,-87.70044617
154,"V & J DAY CARE CENTER, INC",2215538,1 E 113TH ST,6,60628,41.68884812,-87.62289369
155,LINCOLN HALL,2411382,2424-2426 N LINCOLN AVE,1,60614,41.92593792,-87.64966458
156,Moe's Cantina,1518496,3518-3522 N CLARK ST,1,60657,41.94604178,-87.65575347
157,DUNKIN DONUTS,1801595,8145 S PULASKI RD,1,60652,41.74447217,-87.72160213
158,THE PARK GRILL,1445845,11-35 N MICHIGAN AVE,1,60602,41.88238074,-87.62422863
159,LIANG'S KITCHEN,1847346,2109 S WABASH AVE,1,60616,41.85395238,-87.62537587
160,PRESTIGE FOOD,1868597,345 N CENTRAL AVE,2,60644,41.88708768,-87.76495725
161,NATY'S PIZZA,1167763,5129 S KEDZIE AVE,1,60632,41.79993752,-87.70359508
162,MARKLAND-HUBBARD GOURMET PROVISIONS,2189351,1739 W 99TH ST,1,60643,41.71378227,-87.66691074
163,MATILDA/BABY ATLAS,44826,3101 N SHEFFIELD AVE,1,60657,41.9381354,-87.6538991
164,ENGLEWOOD CITGO,1196636,1356 W 87TH ST,2,60620,41.73597329,-87.65806838
165,RL,70224,115 E CHICAGO AVE,1,60611,41.89661584,-87.62473177
166,PROTEIN BAR,2245391,251 E HURON ST,1,60611,41.8949033,-87.62074373
167,Au Bon Pain,1979989,181 W Madison ST BLDG,1,60602,41.88184063,-87.63325509
168,VON STEUBEN METROPOLITAN H/S,47081,5039 N Kimball AVE,3,60625,41.9731926,-87.71334969
169,HAROLD'S CHICKEN,1743015,6952 N CLARK ST,1,60626,42.00810592,-87.67390653
170,CHRIS'S BAKERY,32188,3000 W 41ST ST,5,60632,41.8191864,-87.69959542
171,IHOP,50037,3760 N HALSTED ST,1,60613,41.95090116,-87.64977184
172,WHOLE FOODS MARKET,2333805,255 E GRAND AVE,2,60611,41.89168984,-87.62044413
173,ANDYS JAZZ CLUB,845,11 E HUBBARD ST,1,60611,41.88996387,-87.62750692
174,UNIVERSITY CLUB OF CHICAGO,36890,76 E MONROE ST,1,60603,41.88092404,-87.6249342
175,WRIGLEY FIELD STADIUM,1574001,1060 W ADDISON ST,29,60613,41.94731749,-87.65641795
176,CHURCH'S CHICKEN # 1068,1273278,2806 W CERMAK RD,1,60623,41.85200737,-87.69586997
177,THE CLIPPER/ CC FERNS,2379107,1002 N CALIFORNIA AVE,1,60622,41.89938197,-87.69694004
178,BIRRIERIA Y TAQUERIA ARANDAS,1517674,1812 W 47TH ST,1,60609,41.80866127,-87.67043678
179,LOS ARCOS,2232454,5525 N CLARK ST,1,60640,41.98246114,-87.66839935
180,BURRITO BEACH,64874,500 W MADISON ST,1,60661,41.88199434,-87.63975868
181,Al's Beef,2231682,1300 N MILWAUKEE AVE,1,60622,41.90520009,-87.66957875
182,MARIE'S PIZZA & LIQUORS,1529,4127-4129 W LAWRENCE AVE,1,60630,41.96809026,-87.73166809
183,BOURBON ON DIVISION,2369039,2050 W DIVISION ST,1,60622,41.90326362,-87.67927827
184,POTTER'S,1381720,17 E MONROE ST,1,60603,41.88066458,-87.62708936
185,BURGER KING #7623,1648878,1701 W 95TH ST,1,60643,41.72107251,-87.66493899
186,HELLO FOOD,2163282,600 W CHICAGO AVE,1,60654,41.89658519,-87.64299618
187,ROOSEVELT UNIVERSITY COFFEE SHOP,2156643,430 S MICHIGAN AVE,1,60605,41.87624813,-87.62441918
188,OIISTAR,2146279,1385 N MILWAUKEE AVE,1,60622,41.90707243,-87.67206836
189,KENSINGTON PLACE NURSING AND REHABILITATION CENTER,2216934,3405 S MICHIGAN AVE,8,60616,41.83267813,-87.62314761
190,LE'S PHO,2289027,4925 N BROADWAY,1,60640,41.97221356,-87.6596091
191,THE GRILLROOM,80814,33 W MONROE ST,1,60603,41.88061601,-87.62904942
192,HOME OF THE HOAGY,25275,1312 W 111TH ST,1,60643,41.69231345,-87.65511686
193,TAMARIND,1619390,614 S WABASH AVE,1,60605,41.87406368,-87.62613531
194,CHICAGO' S DOG HOUSE,1969388,816 W FULLERTON AVE,1,60614,41.92555423,-87.64943871
195,CHARLIE'S FRESH MART,1909598,156 W 95TH ST,2,60628,41.72177085,-87.62852064
196,WILLAM TAFT HIGH SCHOOL,46311,6530 W Bryn Mawr Ave,3,60631,41.98298852,-87.7915383
197,D'S BEEF & FRIED RICE,18299,5451 W MADISON ST,1,60644,41.88017546,-87.76196224
198,LITTLE SISTERS OF THE POOR INC,21768,2325 N LAKEWOOD AVE,8,60614,41.92421387,-87.6607064
199,CHICAGO MILITARY ACADEMY HIGH SCHOOL,70070,3515-33 S Giles (300E),3,60653,41.83063811,-87.6191811
200,LAO YUNNAN RSTAURANT,2157036,2109 S CHINA PL,1,60616,41.85403857,-87.63419682
201,MOON PALACE RESTAURANT,40337,216 W CERMAK RD,1,60616,41.85295117,-87.63276485
202,FLO & SANTO,2355411,1310 S WABASH AVE,1,60605,41.86539976,-87.62593557
203,JACK'S LOUNGE,2354909,12717 S HALSTED ST,10,60628,41.66267727,-87.64125551
204,CLARKE'S ON LINCOLN,1696469,2441-2445 N LINCOLN AVE,1,60614,41.92640348,-87.64988949
205,Calo Lounge,1245300,5341-5343 N CLARK ST,1,60640,41.97922554,-87.66815287
206,HAMMOND HOUSE,2205625,6701 S MORGAN ST,8,60621,41.77231555,-87.64930607
207,ADOBO GRILL,80108,1610 N WELLS ST,1,60614,41.91149437,-87.6348681
208,PENNY'S NOODLE SHOP,38125,950 W DIVERSEY PKWY,1,60614,41.93275508,-87.6534881
209,MARISCOS EL CAMARON PELAO RESTAURANT,1998060,3522 W OGDEN AVE,1,60623,41.85521331,-87.71357653
210,"WALLACE CATFISH, INC.",1954531,2800 W MADISON ST,1,60612,41.88118544,-87.69636211
211,HAROLD'S CHICKEN,2068831,1132 W WILSON AVE,1,60640,41.96549259,-87.6587916
212,VIET NAM RESTAURANT,2121019,1032 W ARGYLE ST,1,60640,41.97340307,-87.65626263
213,CHRISTIAN L-E-G EARLY LEARNING CENTER,2363607,446-448 E 43RD ST,4,60653,41.81678223,-87.61463974
214,CAFE VIENNA,1543605,2523 N CLARK ST,5,60614,41.92848737,-87.64204436
215,FIRST SLICE PIE CAFE,2141260,5357 N ASHLAND AVE,1,60640,41.9797171,-87.66956492
216,DE QUAY,2348765,2470 N LINCOLN AVE,1,60614,41.92687232,-87.65096836
217,HOUSE OF WINGS,2391925,2447 N CLARK ST,1,60614,41.926901,-87.64111148
218,BLACKSTONE MARKET/ MERCAT,1848298,636 S MICHIGAN AVE,1,60605,41.87365926,-87.6243595
219,La Ciudad Mexican Cafe,2002631,4515 N SHERIDAN RD,1,60640,41.96413022,-87.65462556
220,NEW YORK WING FACTORY,2313879,2464-2466 N LINCOLN AVE,1,60614,41.92674472,-87.65078998
221,PRIMO CHUKI'S TAQUERIA & RESTAURANT,2270070,1724-1726 W LAWRENCE AVE,1,60640,41.96895892,-87.67210281
222,BROTHERS BEEF,2073706,723 W ARMITAGE AVE,1,60614,41.91808862,-87.64708315
223,RANALLI'S,1933985,1925 N LINCOLN AVE,1,60614,41.91721712,-87.63704399
224,MOBIL,2397872,11501 S HALSTED ST,2,60628,41.68502959,-87.64200453
225,TARASCAS INTERNATIONAL,1094281,2585 N CLARK ST,1,60614,41.93003288,-87.64325433
226,KAMEYA,2292951,806 W WEBSTER AVE,1,60614,41.92192156,-87.64894867
227,EPIPHANY BISTRO,2341412,734 W FULLERTON AVE,1,60614,41.92557912,-87.64768921
228,CROSSROADS PUBLIC HOUSE,1042702,2630 N CLARK ST,1,60614,41.93041201,-87.64388653
229,GEMINI BISTRO,1953463,2075 N LINCOLN AVE,1,60614,41.92005754,-87.64101934
230,SCAFURI BAKERY,2202147,1337 W TAYLOR ST,1,60607,41.86924393,-87.66072005
231,SHAKE SHACK,2359885,12 S MICHIGAN AVE,1,60603,41.8818033,-87.62450427
232,WRIGLEY FIELD STADIUM,1574002,1060 W ADDISON ST,29,60613,41.94731749,-87.65641795
233,COCKTAIL,2032669,3359 N HALSTED ST,1,60657,41.94357316,-87.64922664
234,RINGO,1698639,2507-2509 N LINCOLN AVE,1,60614,41.92748853,-87.65140481
235,"PAL DOLLAR, GROCERY & CELLULAR, INC.",2398890,1259 W 79TH ST,2,60620,41.75035202,-87.65612144
236,FRANCES W PARKER SCHOOL,2270795,330 W WEBSTER AVE,3,60614,41.92208685,-87.63772276
237,CHIU QUON BAKERY,12194,2242 S WENTWORTH AVE,1,60616,41.85165948,-87.63213228
238,Wingers,2404618,606 S WABASH AVE,1,60605,41.87422313,-87.62613908
239,MAXWELL GRILL PLUS,2404230,700 E 100TH PL,1,60628,41.7124333,-87.60535894
240,ZIG ZAG KITCHEN,1145429,2436 N LINCOLN AVE,1,60614,41.9261909,-87.65001746
241,O'MALLEY'S WEST,1646879,2249 N LINCOLN AVE,1,60614,41.92306778,-87.64522532
242,VAULT CAFETERIA,20464,135 S LA SALLE ST,1,60603,41.88001645,-87.63216231
243,PEQUOD'S PIZZA,1963277,2207 N CLYBOURN AVE,1,60614,41.92185084,-87.66451631
244,TOTS EXPRESS LEARNING CENTER,2391948,9031 S STONY ISLAND AVE,6,60617,41.73051757,-87.58491993
245,LOKAL,2391935,2500 N ASHLAND AVE,1,60614,41.92705136,-87.66835948
246,MERCHANT' S  MARKET,2398872,350 N ORLEANS ST,1,60654,41.88874104,-87.63708054
247,SAMMY'S BREAKFAST,2247014,250 E 103RD ST,1,60628,41.70738021,-87.6166086
248,EDWARDO'S NATURAL PIZZA REST,15961,2662 N HALSTED ST,1,60614,41.93080351,-87.64909406
249,SMALL STRIDE ACADEMY,2215801,10317 S WESTERN AVE,36,60643,41.70583515,-87.68145602
250,RAJ DARBAR,55355,2660 N HALSTED ST,1,60614,41.93075191,-87.64909233
251,ORIGINAL PANCAKE HOUSE,15622,10437 S WESTERN AVE,1,60643,41.70344854,-87.68138191
252,LA CANTINA GRILL,1575716,1911 S MICHIGAN AVE,1,60616,41.85627967,-87.62374907
253,BARRACO'S PIZZA,2303698,3043-3047 W 111TH ST,1,60655,41.69149532,-87.6977804
254,"CARLYN BERGHOFF CATERING, INC.",1676680,17 W ADAMS ST,1,60603,41.87934194,-87.62841189
255,SEDGWICK'S,30486,1935 N SEDGWICK ST,1,60614,41.91755929,-87.63864526
256,BUTTERFLY SUSHI & THAI CUISINE ON CHICAGO AVE,1927839,1421 W CHICAGO AVE,1,60642,41.89602503,-87.66327229
257,LA LUCE,35128,1393 W LAKE ST,1,60607,41.88530742,-87.66233715
258,MCGEE'S TAVERN & GRILLE,26266,950 W WEBSTER AVE,1,60614,41.92185463,-87.65309487
259,KINDERCARE LEARNING CENTERS,2215770,1733 N MARCEY ST,6,60614,41.91387373,-87.65509573
260,Sal's Deli,2008618,1013 W Webster AVE,1,60614,41.92161984,-87.65405059
261,JEWEL FOOD STORE #3443,1323,5343 N BROADWAY,2,60640,41.97942825,-87.65980585
262,SEAFOOD ON THE TABLES,2528732,2965 N LINCOLN AVE,1,60657,41.93585162,-87.66310797
263,EL FIRULETE,2487925,2121 W DIVISION ST,1,60622,41.90302249,-87.68057589
264,"JOY FISH, INC.",1272982,9512 S HALSTED ST,1,60628,41.72103897,-87.64335011
265,THREE HARMONY RESTAURANT,1172055,4546 N MAGNOLIA AVE,1,60640,41.9649141,-87.66115774
266,EL GALLO MEXICAN FOOD INC.,2349124,2547 W 111TH ST,1,60655,41.69163955,-87.68537627
267,MEXIQUE,1802986,1529 W CHICAGO AVE,1,60642,41.89598205,-87.66604607
268,TOZI RESTAURANT,2008547,1265 N MILWAUKEE AVE,1,60642,41.90485662,-87.6685902
269,"A.P. DELI RESTAURANT GROUP, INC.",1841985,10758 S MICHIGAN AVE,1,60628,41.69817,-87.6210242
270,MORRISON'S RESTAURANT,2108657,8127 S ASHLAND AVE,1,60620,41.74589127,-87.66317832
271,MAD BOILER,2452181,1045 W MADISON ST,1,60607,41.88157126,-87.6538079
272,All Style Buffet,1959502,4305 S Pulaski RD,1,60632,41.8149936,-87.7237077
273,THE VAULT CAFE,2418006,135 S LA SALLE ST,1,60603,41.88001645,-87.63216231
274,PADDY LONG'S,1226923,1028 W DIVERSEY PKWY,1,60614,41.93272677,-87.65504178
